Sentence,Sentiment,clean,stopped,lemma
The phones are targeted at first time users in growth markets .,neutral,the phone are target at first time user in growth market,phone target first time user growth market,phone target first time user growth market
Revenues at the same time grew 14 percent to 43 million euros .,positive,revenu at the same time grew percent to,revenu time grew percent,revenu time grew percent
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,positive,drugmak shire to buy baxalta for billion after month pursuit,drugmak shire buy baxalta billion month pursuit,drugmak shire buy baxalta billion month pursuit
"Full-year net sales are expected to increase by approximately 10 % , the company said .",positive,full year net sale are expect to increas by approxim the compani said,full year net sale expect increas approxim compani said,full year net sale expect increas approxim compani said
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",negative,the tighten competit situat in the product autom market ha affect net sale dure cencorp said,tighten competit situat product autom market ha affect net sale dure cencorp said,tighten competit situat product autom market ha affect net sale dure cencorp said
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,a survey conduct by taloustutkimu for sampo life show that compani are badli prepar to lose key staff member,survey conduct taloustutkimu sampo life show compani badli prepar lose key staff member,survey conduct taloustutkimu sampo life show compani badli prepar lose key staff member
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,negative,the compani slip to an oper loss of from a profit of,compani slip oper loss profit,compani slip oper loss profit
$FB Nice buyable intraday dip right here,positive,fb nice buyabl intraday dip right here,fb nice buyabl intraday dip right,fb nice buyabl intraday dip right
"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",positive,brooklynbandit simo base nice a close over is bullish qqq spi studi watch for a close near hod current up up,brooklynbandit simo base nice close bullish qqq spi studi watch close near hod current up up,brooklynbandit simo base nice close bullish qqq spi studi watch close near hod current up up
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",positive,via the takeov panostaja further expand it busi area specialis in digit print which sinc previous consist of the subsidiari kopijyva oy and sokonet oy,via takeov panostaja expand busi area specialis digit print sinc previous consist subsidiari kopijyva oy sokonet oy,via takeov panostaja expand busi area specialis digit print sinc previous consist subsidiari kopijyva oy sokonet oy
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",neutral,all the ferri had run into troubl just outsid the stockholm archipelago made up of more than island,ferri run troubl outsid stockholm archipelago made up island,ferri run troubl outsid stockholm archipelago made up island
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive,accord to deputi md pekka silvennoinen the aim is doubl turnov over the next three year,accord deputi md pekka silvennoinen aim doubl turnov next three year,accord deputi md pekka silvennoinen aim doubl turnov next three year
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,neutral,the propos of the sharehold to elect mr hannu krogeru to the board is base on hi long and unrival experi and knowledg of all matter relat to elcoteq,propos sharehold elect mr hannu krogeru board base hi long unrival experi knowledg matter relat elcoteq,propos sharehold elect mr hannu krogeru board base hi long unrival experi knowledg matter relat elcoteq
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,neutral,the compani s board of director would propos a dividend of per share for,compani board director would propos dividend per share,compani board director would propos dividend per share
He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,neutral,he said thing will be differ when new finnish nuclear power station go into oper and the larg hydro power station of northern have a good year,said thing differ new finnish nuclear power station go oper larg hydro power station northern good year,said thing differ new finnish nuclear power station go oper larg hydro power station northern good year
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,the fair valu chang of invest properti wa mn compar to mn in the third quarter of,fair valu chang invest properti wa mn compar mn third quarter,fair valu chang invest properti wa million compar million third quarter
Marimekko is considering further measures in the matter .,neutral,marimekko is consid further measur in the matter,marimekko consid measur matter,marimekko consid measur matter
Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,neutral,whi twtr is doom in chart fb goog t co mpylireqjh t co nlczawdohp,whi twtr doom chart fb goog co mpylireqjh co nlczawdohp,whi twtr doom chart fb goog company mpylireqjh company nlczawdohp
"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .",neutral,n group will pay m of the transact price upon close and the remain sum in,n group pay transact price upon close remain sum,n group pay transact price upon close remain sum
"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",neutral,vehvilainen who is current the chief oper offic at nokia siemen network will join finnair on januari and take over as ceo effect februari,vehvilainen current chief oper offic nokia siemen network join finnair januari take ceo effect februari,vehvilainen current chief oper offic nokia siemen network join finnair januari take ceo effect februari
Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,neutral,our can preserv food in finland report offer a comprehens guid to the size and shape of the market at a nation level,preserv food finland report offer comprehens guid size shape market nation level,preserv food finland report offer comprehens guid size shape market nation level
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive,the econom occup rate of sponda s properti portfolio rose to from in,econom occup rate sponda properti portfolio rose,econom occup rate sponda properti portfolio rose
The value of the contracts is about EUR 3.3 mn .,neutral,the valu of the contract is about mn,valu contract mn,valu contract million
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,positive,marketsshir up and baxalta up on 32bn deal,marketsshir up baxalta up 32bn deal,marketsshir up baxalta up 32bn deal
Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,neutral,finnish bank of land will launch it long term pension save account at the begin of june,finnish bank land launch long term pension save account begin june,finnish bank land launch long term pension save account begin june
"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",neutral,alexandria va nov risto kontturi of rajamaki finland and jari ylinen of hyvinkaa finland have develop an autom transport system with a user control transport select,alexandria va nov risto kontturi rajamaki finland jari ylinen hyvinkaa finland develop autom transport system user control transport select,alexandria va nov risto kontturi rajamaki finland jari ylinen hyvinkaa finland develop autom transport system user control transport select
"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",neutral,he doe not believ howev that hkscan or atria will start to use import meat as finnish consum prefer domest product,doe believ howev hkscan atria start use import meat finnish consum prefer domest product,doe believ howev hkscan atrium start use import meat finnish consum prefer domest product
`` We are selling an information systems development business to the Finns .,neutral,we are sell an inform system develop busi to the finn,sell inform system develop busi finn,sell inform system develop busi finn
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",neutral,finnish suominen corpor that make wipe nonwoven and flexibl packag expect chang in the market situat to reduc sale of suominen s nonwoven and wet wipe from the previous estim volum,finnish suominen corpor make wipe nonwoven flexibl packag expect chang market situat reduc sale suominen nonwoven wet wipe previous estim volum,finnish suominen corpor make wipe nonwoven flexibl packag expect chang market situat reduc sale suominen nonwoven wet wipe previous estim volum
RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,neutral,rushydro ha an agreement to transfer it stake in oesk and the five erc into the trust manag of inter rao,rushydro ha agreement transfer stake oesk five erc trust manag inter rao,rushydro ha agreement transfer stake oesk five erc trust manag inter rao
"Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares .",neutral,kaleva kustannu oy busi id ha accord to it notic on august acquir alma media share,kaleva kustannu oy busi id ha accord notic august acquir alma media share,kaleva kustannu oy busi id ha accord notic august acquir alma medium share
"Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company .",neutral,glaston headquart in tamper finland is a grow and intern glass technolog compani,glaston headquart tamper finland grow intern glass technolog compani,glaston headquart tamper finland grow intern glass technolog compani
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,mformat and nokia note they have establish interoper agreement that cover commerci proven standard base manag of mobil devic as well as mobil devic secur and mobil applic manag,mformat nokia note establish interoper agreement cover commerci proven standard base manag mobil devic well mobil devic secur mobil applic manag,mformat nokia note establish interoper agreement cover commerci proven standard base manag mobil devic well mobil devic secur mobil applic manag
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,negative,buyback not trend right cpix spend more as share pricier hope will pull back w q2 close vwap,buyback trend right cpix spend share pricier hope pull back w q2 close vwap,buyback trend right cpix spend share pricier hope pull back w q2 close vwap
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",neutral,the compani s annual loss amount to eek 18mn compar to a profit of eek mn in,compani annual loss amount eek 18mn compar profit eek mn,compani annual loss amount eek 18mn compar profit eek million
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",positive,the origin name componenta m l as a subsidiari of the finnish componenta group ha been chang to m l compon and the compani ha seen a growth in q1 in comparison to q1,origin name componenta l subsidiari finnish componenta group ha chang l compon compani ha seen growth q1 comparison q1,origin name componenta l subsidiari finnish componenta group ha chang l compon compani ha seen growth q1 comparison q1
"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",neutral,helsinki afx salcomp the mobil phone charger manufactur said it ha appoint markku hangasjarvi as it new ceo follow the resign of mat eriksson,helsinki afx salcomp mobil phone charger manufactur said ha appoint markku hangasjarvi new ceo follow resign mat eriksson,helsinki afx salcomp mobil phone charger manufactur said ha appoint markku hangasjarvi new ceo follow resign mat eriksson
"NAVTEQ has a commanding lead in installed map data systems in North American vehicles and may be the leader in turn-by-turn navigation data offered by services such as OnStar in North America , said analyst Phil Magney of Telematics Research Group in Minnetonka , Minn. .",positive,navteq ha a command lead in instal map data system in north american vehicl and may be the leader in turn by turn navig data offer by servic such as onstar in north america said analyst phil magney of telemat research group in minnetonka minn,navteq ha command lead instal map data system north american vehicl may leader turn turn navig data offer servic onstar north america said analyst phil magney telemat research group minnetonka minn,navteq ha command lead instal map data system north american vehicl may leader turn turn navig data offer servic onstar north america said analyst phil magney telemat research group minnetonka minn
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",neutral,compani evalu in the report includ aladdin ca f secur kasperski marshal mcafe microsoft panda proofpoint sopho symantec trend micro tumblewe and websens,compani evalu report includ aladdin ca f secur kasperski marshal mcafe microsoft panda proofpoint sopho symantec trend micro tumblewe websens,compani evalu report includ aladdin ca f secur kasperski marshal mcafe microsoft panda proofpoint sopho symantec trend micro tumblewe websens
Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .,neutral,around percent of the world s ro ro fleet is over year old and need to be scrap for environment reason,around percent world ro ro fleet year old need scrap environment reason,around percent world ro ro fleet year old need scrap environment reason
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive,in the first quarter of the mark to market result wa a pretax profit of versu a loss of in the same period last year,first quarter mark market result wa pretax profit versu loss period last year,first quarter mark market result wa pretax profit versu loss period last year
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",neutral,aldata solut oyj stock exchang releas august at am aldata share subscrib for with stock option a total of new share of aldata solut oyj have been subscrib for with the compani s 2003a stock option,aldata solut oyj stock exchang releas august aldata share subscrib stock option total new share aldata solut oyj subscrib compani 2003a stock option,aldata solut company stock exchang releas august aldata share subscrib stock option total new share aldata solut company subscrib compani 2003a stock option
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral,the insolv act regul the amount of debt that borrow are permit to write off,insolv act regul amount debt borrow permit write,insolv act regul amount debt borrow permit write
The investment will be worth approximately EUR 100mn .,neutral,the invest will be worth approxim 100mn,invest worth approxim 100mn,invest worth approxim 100mn
The company is presently examining whether the project would be financially feasible .,neutral,the compani is present examin whether the project would be financi feasibl,compani present examin whether project would financi feasibl,compani present examin whether project would financi feasibl
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,also lemmink inen s profit for account period went up to mn from mn a year ago,also lemmink inen profit account period went up mn mn year ago,also lemmink inen profit account period went up million million year ago
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",neutral,the start of the negoti relat to glaston s effici program wa announc in octob,start negoti relat glaston effici program wa announc octob,start negoti relat glaston effici program wa announc octob
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral,the continu oper mean the structur after the restructur of the aspocomp group includ aspocomp oulu and the headquart oper,continu oper mean structur restructur aspocomp group includ aspocomp oulu headquart oper,continu oper mean structur restructur aspocomp group includ aspocomp oulu headquart oper
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative,earn per share ep amount to a loss of,earn per share ep amount loss,earn per share ep amount loss
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral,the reason behind the estim includ the rise in rent level and sever fulli leas offic and retail properti which were complet and ad to the compani s invest properti portfolio,reason behind estim includ rise rent level sever fulli leas offic retail properti complet ad compani invest properti portfolio,reason behind estim includ rise rent level sever fulli lea offic retail properti complet ad compani invest properti portfolio
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral,the share carri a right to dividend and other sharehold right as from their registr with the finnish trade regist,share carri right dividend sharehold right registr finnish trade regist,share carri right dividend sharehold right registr finnish trade regist
$NFLX I say it's time to short at this point.,negative,nflx i say it s time to short at thi point,nflx say time short thi point,nflx say time short thi point
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive,2nd rais thi year bvhealthcar qcor questcor increas quarterli cash dividend percent http stk co goan,2nd rais thi year bvhealthcar qcor questcor increas quarterli cash dividend percent http stk co goan,2nd rais thi year bvhealthcar qcor questcor increas quarterli cash dividend percent http stk company goan
Aviva shuts Friends Life head office in rapid integration move,neutral,aviva shut friend life head offic in rapid integr move,aviva shut friend life head offic rapid integr move,aviva shut friend life head offic rapid integr move
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,neutral,the move wa trigger by weak demand for forestri equip and the uncertain market situat,move wa trigger weak demand forestri equip uncertain market situat,move wa trigger weak demand forestri equip uncertain market situat
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",neutral,howev the order receiv dure the period under review fell by quarter on quarter from the record in the second quarter of,howev order receiv dure period review fell quarter quarter record second quarter,howev order receiv dure period review fell quarter quarter record second quarter
"The Division also includes joint sales , marketing and controlling functions for these units .",neutral,the divis also includ joint sale market and control function for these unit,divis also includ joint sale market control function unit,divis also includ joint sale market control function unit
"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day .",neutral,outotec s deliveri cover the engin suppli and construct of a circul fluid bed calcin plant with a capac of ton of alumina per day,outotec deliveri cover engin suppli construct circul fluid bed calcin plant capac ton alumina per day,outotec deliveri cover engin suppli construct circul fluid bed calcin plant capac ton alumina per day
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",neutral,as a result the compani will temporarili lay off of the whole personnel approxim person at kirkkonummi and nivala factori,result compani temporarili lay whole personnel approxim person kirkkonummi nivala factori,result compani temporarili lay whole personnel approxim person kirkkonummi nivala factori
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative,result befor tax decreas to nearli mn compar to nearli 20mn in the previou account period,result befor tax decreas nearli mn compar nearli 20mn previou account period,result befor tax decreas nearli million compar nearli 20mn previou account period
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative,the major of the compani s personnel in finland is temporarili laid off from one to six week in the period from februari to june period,major compani personnel finland temporarili laid one six week period februari june period,major compani personnel finland temporarili laid one six week period februari june period
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,the compani report today an oper loss of m on net sale of m for the first quarter,compani report today oper loss net sale first quarter,compani report today oper loss net sale first quarter
The GyPSii mobile social networking application is available in China with both Chinese and English language support .,neutral,the gypsii mobil social network applic is avail in china with both chines and english languag support,gypsii mobil social network applic avail china chines english languag support,gypsii mobil social network applic avail china chine english languag support
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral,qpr processguid is avail as a system solut with central storag and manag of process content as well as a standalon desktop version qpr processguid xpress,qpr processguid avail system solut central storag manag process content well standalon desktop version qpr processguid xpress,qpr processguid avail system solut central storag manag process content well standalon desktop version qpr processguid xpress
X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,negative,x mark the recal tesla recal modelx for faulti 3rd row seat t co hsqdovry07 tsla t co 4cs3cnzebb,x mark recal tesla recal modelx faulti 3rd row seat co hsqdovry07 tsla co 4cs3cnzebb,x mark recal tesla recal modelx faulti 3rd row seat company hsqdovry07 tsla company 4cs3cnzebb
A 2001 agreement expired earlier this month .,neutral,a agreement expir earlier thi month,agreement expir earlier thi month,agreement expir earlier thi month
loading $SPY and $AAPL puts. think were toppy IMHO.,negative,load spi and aapl put think were toppi imho,load spi aapl put think toppi imho,load spi aapl put think toppi imho
"So far , Mr. Galvan he has been able to avoid laying off workers .",positive,so far mr galvan he ha been abl to avoid lay off worker,far mr galvan ha abl avoid lay worker,far mr galvan ha abl avoid lay worker
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .,neutral,the measur result from the statutori joint negoti with employe which start in februari and concern all oper in the countri,measur result statutori joint negoti employe start februari concern oper countri,measur result statutori joint negoti employe start februari concern oper countri
"When the negotiations were started , Neste Oil anticipated that 450 people would be affected .",neutral,when the negoti were start nest oil anticip that peopl would be affect,negoti start nest oil anticip peopl would affect,negoti start nest oil anticip peopl would affect
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",neutral,accord to arokarhu some of the purchas that had been scan into the cash regist comput disappear when the total sum key wa press,accord arokarhu purchas scan cash regist comput disappear total sum key wa press,accord arokarhu purchas scan cash regist comput disappear total sum key wa press
"$AAPL double bottom could be in, keep in mind",positive,aapl doubl bottom could be in keep in mind,aapl doubl bottom could keep mind,aapl doubl bottom could keep mind
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral,f secur internet secur is a secur servic for surf the web onlin bank and shop e mail and other onlin activ,f secur internet secur secur servic surf web onlin bank shop e mail onlin activ,f secur internet secur secur servic surf web onlin bank shop e mail onlin activ
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,positive,orion pharma s oper profit increas by from,orion pharma oper profit increas,orion pharma oper profit increas
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",neutral,the chang will take effect on januari and they are not estim to have an impact on the number of employe,chang take effect januari estim impact number employe,chang take effect januari estim impact number employe
"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",neutral,the recruit is relat to the reloc of stora enso s research oper to karlstad central sweden,recruit relat reloc stora enso research oper karlstad central sweden,recruit relat reloc stora enso research oper karlstad central sweden
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,neutral,oper loss total 25mn compar to a profit of 63mn in the correspond period in,oper loss total 25mn compar profit 63mn correspond period,oper loss total 25mn compar profit 63mn correspond period
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",neutral,profit ebit wa compar to in q2,profit ebit wa compar q2,profit ebit wa compar q2
"This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .",positive,thi new represent extend comptel s global presenc to a total of countri serv over custom in over countri worldwid,thi new represent extend comptel global presenc total countri serv custom countri worldwid,thi new represent extend comptel global presenc total countri serv custom countri worldwid
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral,elisa corpor will disclos it financi statement for on thursday februari,elisa corpor disclos financi statement thursday februari,elisa corpor disclos financi statement thursday februari
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",positive,the compani which make garden tool scissor and other consum good said earn were boost by mln of incom it receiv from it pct sharehold in finnish engin group wartsila,compani make garden tool scissor consum good said earn boost mln incom receiv pct sharehold finnish engin group wartsila,compani make garden tool scissor consum good said earn boost million incom receiv percent sharehold finnish engin group wartsila
The deliveries are scheduled for the summer and autumn of 2008 .,neutral,the deliveri are schedul for the summer and autumn of,deliveri schedul summer autumn,deliveri schedul summer autumn
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",positive,lule municip ha award yit a year contract for properti manag of about one third of the municip s properti with a total area of sq metr,lule municip ha award yit year contract properti manag one third municip properti total area sq metr,lule municip ha award yit year contract properti manag one third municip properti total area sq metr
GSK and Novartis complete deals to reshape both drugmakers,positive,gsk and novarti complet deal to reshap both drugmak,gsk novarti complet deal reshap drugmak,gsk novarti complet deal reshap drugmak
It is expected to be online by 2011 .,neutral,it is expect to be onlin by,expect onlin,expect onlin
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive,legal gener arm buy pct stake in mediacityuk in manchest,legal gener arm buy pct stake mediacityuk manchest,legal gener arm buy percent stake mediacityuk manchest
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral,qualiti charger under chargz brand are sold in select retail store and other sale locat world wide,qualiti charger chargz brand sold select retail store sale locat world wide,qualiti charger chargz brand sold select retail store sale locat world wide
Passengers rise at EasyJet and Aer Lingus,positive,passeng rise at easyjet and aer lingu,passeng rise easyjet aer lingu,passeng rise easyjet aer lingu
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive,oper profit rose to mn from mn,oper profit rose mn mn,oper profit rose million million
Central Europe is an important market area for Honka .,neutral,central is an import market area for honka,central import market area honka,central import market area honka
A total of $ 78 million will be invested in the project .,neutral,a total of will be invest in the project,total invest project,total invest project
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",neutral,motorola account for percent of the south korean handset market as of the end of april samsung held percent and lg electron percent accord to korea base atla research group,motorola account percent south korean handset market end april samsung held percent lg electron percent accord korea base atla research group,motorola account percent south korean handset market end april samsung held percent lg electron percent accord korea base atla research group
"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",negative,iff technic alert stochast sell signal dma support and dma support http stk co p12qi,iff technic alert stochast sell signal dma support dma support http stk co p12qi,iff technic alert stochast sell signal dma support dma support http stk company p12qi
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral,on the basi of competit bid ooo kitai stroi the russian subsidiari of china state construct engin corpor a construct compani own by china state ha been select as the main constructor,basi competit bid ooo kitai stroi russian subsidiari china state construct engin corpor construct compani china state ha select main constructor,basi competit bid ooo kitai stroi russian subsidiari china state construct engin corpor construct compani china state ha select main constructor
British American Tobacco drops and sues PwC over pollution scandal,negative,british american tobacco drop and sue pwc over pollut scandal,british american tobacco drop sue pwc pollut scandal,british american tobacco drop sue pwc pollut scandal
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",neutral,the group post net sale of mln mln and an oper profit of mln in,group post net sale mln mln oper profit mln,group post net sale million million oper profit million
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,cloth retail chain sepp l s sale increas by to mn and oper profit rose to mn from mn in,cloth retail chain sepp l sale increas mn oper profit rose mn mn,cloth retail chain sepp l sale increas million oper profit rose million million
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,neutral,the facil consist of a seven year bullet term loan of mln mln and a mln mln five year revolv credit facil,facil consist seven year bullet term loan mln mln mln mln five year revolv credit facil,facil consist seven year bullet term loan million million million million five year revolv credit facil
"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",positive,in term of profit and earn wa the best year in our histori chief execut veli matti mattila said,term profit earn wa best year histori chief execut veli matti mattila said,term profit earn wa best year histori chief execut veli matti mattila said
Closing of such transaction took place today .,neutral,close of such transact took place today,close transact took place today,close transact took place today
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",negative,in addit a further employe can be laid off until further notic and the whole workforc can be laid off for short period if need,addit employe laid notic whole workforc laid short period need,addit employe laid notic whole workforc laid short period need
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral,the annual report will be sent automat to sharehold hold at least sampo plc share,annual report sent automat sharehold hold least sampo plc share,annual report sent automat sharehold hold least sampo company share
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive,upm kymmen is one of the world s lead print paper produc with product in countri and a sale network cover more than compani,upm kymmen one world lead print paper produc product countri sale network cover compani,upm kymmen one world lead print paper produc product countri sale network cover compani
"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",positive,the stabl outlook reflect nokia s strong market posit in the global mobil handset market strong cash flow gener and veri conserv balanc sheet said raab,stabl outlook reflect nokia strong market posit global mobil handset market strong cash flow gener veri conserv balanc sheet said raab,stabl outlook reflect nokia strong market posit global mobil handset market strong cash flow gener veri conserv balanc sheet said raab
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive,nokia will continu to invest in futur develop of qt for the benefit of all user both commerci and lgpl,nokia continu invest futur develop qt benefit user commerci lgpl,nokia continu invest futur develop qt benefit user commerci lgpl
$HITK  Resuming advance into new historical highs.,positive,hitk resum advanc into new histor high,hitk resum advanc new histor high,hitk resum advanc new histor high
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',positive,ntc ha a geograph presenc that complement ramir s exist network and bring us closer to our custom in the east bohemia region in the czechrepubl,ntc ha geograph presenc complement ramir exist network bring us closer custom east bohemia region czechrepubl,ntc ha geograph presenc complement ramir exist network bring america closer custom east bohemia region czechrepubl
"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,metso is a global supplier of sustain technolog and servic for mine construct power gener autom recycl and the pulp and paper industri,metso global supplier sustain technolog servic mine construct power gener autom recycl pulp paper industri,metso global supplier sustain technolog servic mine construct power gener autom recycl pulp paper industri
